user_id,book_id,is_read,rating,is_reviewed
495,64482,1,4,0
495,38769,1,4,0
495,47621,1,5,0
495,47622,1,5,0
495,47624,1,5,0
495,2015,1,5,0
495,108296,1,4,0
495,1218,1,5,0
495,2013,1,5,0
495,108230,1,5,0
495,56913,1,4,0
495,108168,1,1,0
495,7909,1,3,0
495,13470,1,3,0
495,54944,1,3,0
495,941,1,5,0
495,28660,1,4,0
495,107928,1,4,0
495,1366,1,4,0
495,40372,1,3,0
512,16298,1,5,0
512,14318,1,4,0
512,1218,1,5,0
512,1123,1,3,0
512,39792,1,4,0
512,941,1,5,0
512,58944,1,4,0
512,759,1,3,0
512,12923,1,3,0
512,2368,1,4,0
512,47766,1,1,0
512,50621,1,4,0
512,19534,1,3,0
512,1504,1,5,1
512,82708,1,3,1
512,19430,1,5,0
512,27500,1,4,0
512,24968,1,4,0
512,50750,1,3,0
512,23791,1,4,0
512,37153,1,4,1
599,19534,1,5,0
599,125887,1,4,0
599,125886,1,4,0
599,38262,1,4,0
599,22421,1,4,0
599,125844,1,2,1
599,15672,1,4,0
599,125778,1,3,0
599,12169,1,4,1
599,12523,1,4,1
599,125620,1,3,1
599,23056,1,4,1
599,23054,1,3,1
599,125507,1,3,1
599,44128,1,4,0
599,11339,1,5,1
599,2934,1,3,1
599,23012,1,4,1
599,43730,1,3,1
599,10959,1,3,1
599,10617,1,4,1
599,43416,1,2,1
599,9439,1,4,1
599,43228,1,3,1
599,61044,1,3,1
599,15719,1,4,1
599,8812,1,4,1
599,124474,1,2,1
648,12969,1,2,0
648,941,1,5,0
648,17364,1,2,0
648,50811,1,4,0
648,22349,1,2,0
648,111595,1,4,0
648,1067,1,3,0
648,12923,1,2,0
648,22207,1,2,0
648,7909,1,2,0
648,1368,1,3,0
648,17275,1,2,0
648,18600,1,2,0
648,14948,1,2,0
648,66559,1,3,0
648,89053,1,2,0
648,26936,1,2,0
1460,39030,1,4,0
1460,14664,1,3,1
1460,77690,1,5,0
1460,759,1,5,0
1460,42528,1,3,0
1460,31862,1,4,0
1460,25673,1,4,1
1460,46487,1,1,0
